"record_id","record_name","domain_id","domain_label","capability_id","capability_label","method_role","contribution_class","contribution_status","maturity","formula_version","interactive_state","can_render","formula_status","proposed_formula","implemented_formula","required_inputs","temporal_operator","spatial_operator","units","physical_rationale","intended_use_and_inference_limit","calibration_status","validation_status","event_evidence_status","source_name","source_url","bookmark_label","bookmark_latitude","bookmark_longitude","bookmark_zoom","bookmark_window_end_date","bookmark_date_role","acquisition_timestamp","acquisition_cloud_cover","display_qc_verdict","display_visible_percent","display_high_signal_percent","display_p99_luma","display_qc_generated","display_qc_interpretation_limit","audit_date","source_commit"
"BH-DFSI","Burned Hillside Surface Context Score","wildfire","Wildfire & Post-Fire","fire-effects","Fire Effects & Recovery","primary","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Calibrated debris-flow model f(ΔNBR, slope, flow accumulation, soil, rainfall intensity and duration)","max(0, 0.15 − NBR) × max(0, BSI + 0.1) × max(0, 0.35 − NDVI)","Sentinel-2 L2A","Single-scene live proxy; proposed model requires pre/post fire and rainfall windows","Per-pixel live proxy; proposed model requires terrain and flow-network context","Uncalibrated dimensionless screening score","The live layer combines low NBR, exposed-soil context, and low vegetation cover in one Sentinel-2 scene. It does not compute slope, rainfall, soil moisture, drainage, or debris-flow susceptibility.","Post-fire surface-context screening. Debris-flow or evacuation decisions require terrain, rainfall, soils, inventories, and held-out watershed evaluation.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","USGS Montecito debris-flow release (2018)","https://www.usgs.gov/data/debris-flow-inundation-and-damage-data-9-january-2018-montecito-debris-flow-event","Montecito corridor — post-flow peak debris signal","34.44","-119.63","13","2018-01-24","End of the Atlas WMS search window; not an acquisition timestamp","2018-01-22T18:54:21.026Z","0.00%","strong","29.482","22.298","0.6887","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SF-EII","Canopy Moisture Deficit Calibration Specification","wildfire","Wildfire & Post-Fire","fuel-moisture","Fuel Moisture Context","retired","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Rebuild required","FuelMask × clip[(NDMI_reference − NDMI_t) / scale_reference, 0, 1]","Legacy [(B8A−B11)/(B8A+B11)] × [1−(B08/B12)] retained in source history only","Sentinel-2 L2A | seasonal reference distribution | field LFMC for stronger inference","Seasonal anomaly","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","The prior multiplicative expression has an unstable physical direction because 1−B08/B12 is commonly negative over vegetation. A seasonal NDMI deficit is the defensible starting feature; LFMC requires field calibration.","Defines a canopy-moisture calibration experiment rather than a pre-ignition hazard product.","Uncalibrated","Not independently evaluated (below V1)","Context location only","US Drought Monitor — California drought context","https://droughtmonitor.unl.edu/","Yosemite area — pre-fire fuel mapping","37.77","-119.57","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"LFMPI","Live Fuel Moisture Deficit Proxy","wildfire","Wildfire & Post-Fire","fuel-moisture","Fuel Moisture Context","primary","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Field-calibrated LFMC = f(Sentinel-2 moisture features, vegetation type, season)","FuelGate × WaterReject × (1 − NDMI) / 2","Sentinel-2","Single-scene","Per-pixel","Dimensionless moisture-deficit proxy","The live layer displays a normalized NDMI deficit over live vegetation after water rejection. It is not calibrated in percent LFMC.","Canopy-moisture context for selecting field-calibration targets.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Drought.gov California-Nevada October 2021 drought update","https://www.drought.gov/drought-status-updates/drought-status-update-california-nevada-2021-10-15","Angeles NF chaparral — peak drought live-fuel risk","34.28","-118.02","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","2021-08-01T18:29:21.024Z","0.09%","strong","57.112","57.112","0.7334","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"PSHRI","Post-Fire Soil Hydrophobicity Risk Index","wildfire","Wildfire & Post-Fire","fire-effects","Fire Effects & Recovery","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","NDWI_post_rain − NDWI_pre_rain (in ERA5-confirmed precipitation window)","","S2+ERA5","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Normal soil wets after rain → NDWI rises. Hydrophobic burned soil repels water → NDWI unchanged despite rainfall.","Identifies slopes where rain will not absorb, flagging runoff and debris-flow risk.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Paradise CA — Camp Fire burn scar","39.76","-121.62","12","2019-01-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"BSMTI","Burn Severity Mineralogy Transition Index","wildfire","Wildfire & Post-Fire","fire-effects","Fire Effects & Recovery","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","depth(535nm) / depth(486nm)","","EMIT","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Goethite→magnetite→hematite transition encodes fire temperature history. Requires EMIT 5 nm spectral resolution.","Maps fire temperature gradients in burn scars — links to revegetation prognosis.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Dixie Fire scar — EMIT context","40","-121.4","11","2021-09-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SACI","UV Absorbing Aerosol Context","wildfire","Wildfire & Post-Fire","fire-atmosphere","Smoke & Extreme Fire Behavior","reference","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Aerosol-composition classifier f(UVAI, AOD, absorption AOD, Ångström exponent, plume height, meteorology)","clip(AER_AI_340_380 / 3.5, 0, 1)","TROPOMI","Single-scene","Per-pixel","Scaled native UV aerosol-index value","The live layer displays the TROPOMI 340/380 nm UV Absorbing Aerosol Index. It does not calculate AOD340/AOD550 or distinguish smoldering from flaming combustion.","Documents absorbing-aerosol plume context; composition and fire-type inference require additional aerosol products and labels.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","NOAA GML long-range smoke from Bootleg and Dixie fires","https://gml.noaa.gov/aero/net/bld/2021_fires.html","Bootleg Fire OR — dense smoke aerosol plume","42.38","-121.12","6","2021-08-11","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","58.514","58.514","0.5349","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"PCSII","Pyroconvection Detection Index","wildfire","Wildfire & Post-Fire","fire-atmosphere","Smoke & Extreme Fire Behavior","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","(BT_3.7µm − BT_11µm > 0) AND (AOD_TROPOMI > 1.0)","","GOES+TROPOMI","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Pyrocumulus tops show reversed brightness temperature at 3.7µm + extreme AOD loading.","Real-time extreme fire behavior alert — pyroconvection creates erratic spotting kilometers ahead.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","West Coast fire complex OR/CA","42","-122","9","2020-09-10","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"PETI","Phytoplankton Bloom Context Proxy","waterquality","Water Quality & Freshwater","aquatic-blooms","Aquatic Blooms & Pigments","primary","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Field-calibrated bloom model with temporal persistence and toxin assays","WaterGate × max[0, NDCI × RedEdgeContrast × 8]","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula combines red/red-edge contrasts over water. Sentinel-2 has no 620 nm phycocyanin band, and this output does not establish cyanobacterial toxicity.","Bloom-context screening for field sampling, not toxin or drinking-water safety determination.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","NOAA NCCOS Lake Erie HAB 2019 retrospective","https://coastalscience.noaa.gov/news/lake-erie-hab-2019-retrospective-bloom-severity-was-7-3-as-predicted-by-the-seasonal-forecast/","Lake Erie — western algae bloom","41.66","-83.19","10","2019-08-01","End of the Atlas WMS search window; not an acquisition timestamp","2019-08-01T16:28:39.024Z","0.00%","strong","100","3.867","0.7049","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"CSRC","Surface Scum Context Composite","waterquality","Water Quality & Freshwater","aquatic-blooms","Aquatic Blooms & Pigments","variant","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Temporal surface-scum model with repeated clear observations and toxin assays","WaterGate × max(0, NDCI + NIRScumBoost) × (1 − TurbidityReject)","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula combines a red-edge bloom feature, elevated NIR, and a turbidity rejection term. It does not calculate persistence or cyanotoxin risk.","Locates surface-scum-like optical conditions for review and sampling.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","NASA Earthdata: Cleaner Water from Space (Lake Taihu HAB monitoring)","https://www.earthdata.nasa.gov/news/feature-articles/cleaner-water-from-space","Lake Taihu China — bloom peak","31.22","120.22","10","2020-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","100","5.073","0.7142","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SWRI","Sewage-Water Release Index","waterquality","Water Quality & Freshwater","water-condition-plumes","Water Condition & Plumes","research-model","C2","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","turbidity_shock × organic_bloom_proxy × persistence","","Sentinel-2 context; proof target pending","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Sewage effluent combines turbidity spike (suspended solids), organic bloom signal (elevated NDCI), and distinctive green-to-blue ratio from nutrient loading.","Early warning for municipal wastewater failures — actionable within hours of Sentinel-2 overpass.","Uncalibrated","Not independently evaluated (below V1)","Context location only","NOAA Florida HAB Event Tracker (2018)","https://www.climate.gov/news-features/event-tracker/harmful-algal-blooms-linger-parts-southern-florida-july-and-august-2018","Chesapeake Bay — nutrient plume","39.05","-76.26","10","2021-08-14","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
