record_id,record_name,domain,capability_family,method_role,maturity,formula_status,implemented_formula,required_inputs,band_references,band_reference_count,index_aliases,gate_or_clip_terms,six_family_exact_match,permutation_applicability,reason
BH-DFSI,Burned Hillside Surface Context Score,Wildfire & Post-Fire,Fire Effects & Recovery,primary,M3,Live screening proxy,"max(0, 0.15 − NBR) × max(0, BSI + 0.1) × max(0, 0.35 − NDVI)",Sentinel-2 L2A,,0,NBR|BSI|NDVI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
SF-EII,Canopy Moisture Deficit Calibration Specification,Wildfire & Post-Fire,Fuel Moisture Context,retired,M1,Rebuild required,Legacy [(B8A−B11)/(B8A+B11)] × [1−(B08/B12)] retained in source history only,Sentinel-2 L2A | seasonal reference distribution | field LFMC for stronger inference,B08|B8A|B11|B12,4,,,,not-applicable-workflow,Temporal or spatial operators extend beyond per-pixel band algebra.
LFMPI,Live Fuel Moisture Deficit Proxy,Wildfire & Post-Fire,Fuel Moisture Context,primary,M3,Live screening proxy,FuelGate × WaterReject × (1 − NDMI) / 2,Sentinel-2,,0,NDMI,FuelGate|WaterReject,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
PSHRI,Post-Fire Soil Hydrophobicity Risk Index,Wildfire & Post-Fire,Fire Effects & Recovery,research-model,M1,Formula specified; not implemented in Atlas,,S2+ERA5,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
BSMTI,Burn Severity Mineralogy Transition Index,Wildfire & Post-Fire,Fire Effects & Recovery,research-model,M1,Formula specified; not implemented in Atlas,,EMIT,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
SACI,UV Absorbing Aerosol Context,Wildfire & Post-Fire,Smoke & Extreme Fire Behavior,reference,M3,Live screening proxy,"clip(AER_AI_340_380 / 3.5, 0, 1)",TROPOMI,,0,,clip,,not-applicable-other-sensor,The implemented or proposed workflow is not Sentinel-2 based.
PCSII,Pyroconvection Detection Index,Wildfire & Post-Fire,Smoke & Extreme Fire Behavior,research-model,M1,Formula specified; not implemented in Atlas,,GOES+TROPOMI,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
PETI,Phytoplankton Bloom Context Proxy,Water Quality & Freshwater,Aquatic Blooms & Pigments,primary,M3,Live screening proxy,"WaterGate × max[0, NDCI × RedEdgeContrast × 8]",Sentinel-2,,0,NDCI,WaterGate|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
CSRC,Surface Scum Context Composite,Water Quality & Freshwater,Aquatic Blooms & Pigments,variant,M3,Live screening proxy,"WaterGate × max(0, NDCI + NIRScumBoost) × (1 − TurbidityReject)",Sentinel-2,,0,NDCI,TurbidityReject|WaterGate|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
SWRI,Sewage-Water Release Index,Water Quality & Freshwater,Water Condition & Plumes,research-model,M2,Executable but non-live,,Sentinel-2 context; proof target pending,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
